pdf_filename,figure_filename,caption,plot_type,generated_annotation
001_2503.15664v1_Enhancing Pancreatic Cancer Staging with Large Language Models The Role   of Retrieval-Augmented Gen.pdf,001_2503.15664v1_Figure2.png,"TNM classification performance of NotebookLM with REK, Gemini 2.0 Flash with REK, and Gemini 2.0 Flash without REK in the experiment using 100 fictional pancreatic cancer cases. The TNM classification was deemed correct only if all T, N, and M factors were accurately identified. Additionally, the classification accuracy for each T, N, and M factor was compared across the three groups. REK=reliable external knowledge",Bar Chart,"The bar chart illustrates classification accuracy (%) across four different categories using three methodologies. On the horizontal axis, the categories are labeled as ""TNM classification,"" ""T factor,"" ""N factor,"" and ""M factor."" The vertical axis represents ""Classification accuracy (%)"" with a linear scale ranging from 0 to 100, marked at intervals of 20. Each category contains three bars representing different methods, identified by color and described in the legend as ""NotebookLM with REK"" (blue), ""Gemini with REK"" (orange), and ""Gemini without REK"" (green). In the ""TNM classification"" category, the ""NotebookLM with REK"" bar is approximately 80% in height, the ""Gemini with REK"" bar is around 55%, and the ""Gemini without REK"" bar is 50%. In the ""T factor"" category, the ""NotebookLM with REK"" bar reaches 85%, ""Gemini with REK"" is at 74%, and ""Gemini without REK"" is at 66%. For the ""N factor,"" the heights are approximately 94% for ""NotebookLM with REK,"" 75% for ""Gemini with REK,"" and 79% for ""Gemini without REK."" Lastly, in the ""M factor"" category, ""NotebookLM with REK"" stands at 97%, ""Gemini with REK"" at 95%, and ""Gemini without REK"" at 92%. The bars do not appear to be sorted in any particular order and none are visually emphasized beyond their coloring."
001_2503.15664v1_Enhancing Pancreatic Cancer Staging with Large Language Models The Role   of Retrieval-Augmented Gen.pdf,001_2503.15664v1_Figure3.png,"The performance of NotebookLM with REK, Gemini 2.0 Flash with REK, and Gemini 2.0 Flash without REK in determining local invasion factors and resectability classification in the experiment using 100 fictional pancreatic cancer cases. REK=reliable external knowledge",Bar Chart,"The bar chart illustrates classification accuracy across different models and conditions for two evaluation categories: ""Local invasion"" and ""Resectability."" The horizontal axis represents the categories labeled ""Local invasion"" and ""Resectability,"" with bars grouped under each category. The vertical axis is labeled ""Classification accuracy (%)"" and is a linear scale ranging from 0 to 100, with tick marks in intervals of 20%. For each category, three bars represent different models: ""NotebookLM with REK"" (in blue), ""Gemini with REK"" (in orange), and ""Gemini without REK"" (in green). In ""Local invasion,"" the blue bar reaches approximately 93%, the orange bar 83%, and the green bar 70%. In ""Resectability,"" the blue bar reaches approximately 86%, the orange bar 80%, and the green bar 83%. The bars are not sorted in a particular order beyond their grouping by category, and none are visually emphasized with special shading or annotation effects."
002_2503.13844v1_Spotting Persuasion A Low-cost Model for Persuasion Detection in   Political Ads on Social Media.pdf,002_2503.13844v1_Figure2.png,Model Performance across Different Thresholds.,Line Plot,"The plot illustrates the variation of different F1 scores as a function of a threshold value. The x-axis is labeled ""Threshold,"" uses a linear scale, and ranges from 0.3 to 0.7 with tick labels at intervals of 0.1. The y-axis is labeled ""Score,"" also employs a linear scale, and spans from 0.10 to 0.40 with tick labels at intervals of 0.05. The plot includes four lines. The first line, representing ""Dev F1 Micro,"" is blue with solid lines and circular markers. It begins at approximately 0.35 at a threshold of 0.3, peaks around 0.39 near a threshold of 0.5, and ends near 0.34 at 0.7. The second line, ""Dev F1 Macro,"" is cyan with solid lines and circular markers. It begins at about 0.15, shows slight fluctuation with a minimal downward trend, and ends just below 0.15. The third line, ""Test F1 Micro,"" is red with dashed lines and square markers. It starts around 0.34, increases to a peak near 0.39 at a threshold close to 0.5, and decreases to about 0.33 at 0.7. The fourth line, ""Test F1 Macro,"" is orange with dashed lines and square markers. It starts at approximately 0.25 and shows a slight downward trend, ending near 0.22 at a threshold of 0.7."
"003_2504.21625v3_Ask, Fail, Repeat Meeseeks, an Iterative Feedback Benchmark for LLMs'   Multi-turn Instruction-Follo.pdf",003_2504.21625v3_Figure2.png,Utility rate and Meeseeks Score gain over turns,Bar Chart,"The bar chart illustrates the comparison of scores for different systems across three utility and Meeseeks score measures. The categories are displayed on the vertical axis, labeled with system names (""Claude-3.7-Sonnet,"" ""Claude-3.7-Sonnet-Thinking,"" ""DeepSeek-V3-Chat-20241226,"" and ""DeepSeek-R1""), ordered from top to bottom. The chart utilizes a horizontal value axis labeled ""Score,"" with a linear scale ranging from 0.00 to 1.00. The tick labels are regularly spaced, indicating numeric intervals. Each system has associated grouped bars, differentiated by color corresponding to a legend that denotes ""Meeseeks Score Turn 1"" and ""Utility Rate Turn 1"" among others. The bars are colored red and shades of blue, representing different utility rates and Meeseeks scores across turns. For ""Claude-3.7-Sonnet,"" the ""Meeseeks Score Turn 3 Gain"" is red with an approximate score of 0.874, while ""Utility Rate Turn 1"" is the darkest blue with a score of 0.661. The grouping visually arranges these as stacked bars, with red segments consistently appearing longer. The shortest bar segments are often the blue segments for ""Utility Rate Turn 3 Gain."" The bars do not appear to be sorted in any particular order, nor are any bars visually emphasized beyond their colors."
008_2504.19675v1_Annif at SemEval-2025 Task 5 Traditional XMTC augmented by LLMs.pdf,008_2504.19675v1_Figure3.png,Effect of adding synthetic training data for Omikuji Bonsai models. The models were evaluated against the development set.,Line Plot,"The plot illustrates the nDCG@10 scores for different proportions of original and synthetic training data across four data categories. The x-axis is labeled ""Proportions of original + synthetic training data"" with a linear scale and categorical values, specifically ""1+0,"" ""1+1,"" ""1+2,"" and ""1+3."" The y-axis is labeled ""nDCG@10,"" also on a linear scale, ranging from 0.45 to 0.60 with tick marks at intervals of 0.05. The plot features four lines, each representing a different category. The blue line with circular markers represents the ""all-subjects / de"" category and shows a solid line style that starts at approximately 0.49 at ""1+0"" and rises to about 0.52 at ""1+3."" The red line with square markers, labeled ""all-subjects / en,"" is solid and begins around 0.53 at ""1+0,"" ending near 0.55 at ""1+3."" The purple line with triangular markers, representing ""tib-core-subjects / de,"" is a solid line that starts just above 0.48 at ""1+0"" and increases consistently to approximately 0.51 at ""1+3."" Lastly, the green line with diamond markers, labeled ""tib-core-subjects / en,"" exhibits a solid line style, commencing at about 0.55 at ""1+0"" and reaching around 0.58 at ""1+3."""
011_2503.21735v1_GateLens A Reasoning-Enhanced LLM Agent for Automotive Software Release   Analytics.pdf,011_2503.21735v1_Figure1.png,: The first benchmark with annotated difficulty levels.,Bar Chart,"The bar chart illustrates the F1 scores as percentages for two approaches, ""GateLens"" and ""Without RA,"" across four levels. The horizontal axis contains the categories labeled as ""Level,"" ordered numerically from 1 to 4, while the vertical axis represents the value labeled ""F1 (%)"" with a linear scale ranging from 70 to 100, with tick marks at intervals of 5. Each level contains two bars: one in blue representing ""GateLens"" and another in orange representing ""Without RA."" At Level 1, the blue bar's value is 100.0, and the orange bar is approximately 96.67. Similarly, at Level 2, the same values are represented. At Level 3, both bars have values of 100.0. At Level 4, the blue bar remains at 100.0, while the orange bar drops to approximately 72.73. The bars are grouped by level and are not sorted beyond the numerical order of levels. A legend clearly identifies the color coding for ""GateLens"" and ""Without RA."" There is no additional visual emphasis such as shading or annotation beyond the numerical value labels atop each bar."
011_2503.21735v1_GateLens A Reasoning-Enhanced LLM Agent for Automotive Software Release   Analytics.pdf,011_2503.21735v1_Figure2.png,: The second benchmark with real-world user queries,Bar Chart,"The bar chart illustrates the F1 percentages for two methods, ""GateLens"" and ""without RA,"" across different categories. The horizontal axis contains the categories labeled as ""Column Ops,"" ""Complex Multi,"" ""Conditional Cal,"" ""Data Filtering,"" ""Duplicate Re,"" ""Grouping,"" ""Metadata,"" and ""Table Gen,"" arranged in a specific order. The vertical axis represents the F1 score in percentage, with a linear scale ranging from 50% to 100%, marked at intervals of 10%. Each group consists of two bars: blue for ""GateLens"" and orange for ""without RA."" In ""Column Ops,"" both bars are approximately equal at 64.7%. For ""Complex Multi,"" the blue bar reaches about 84.0%, while the orange bar is approximately 78.3%. In ""Conditional Cal,"" both bars reach 93.3%. ""Data Filtering"" shows the blue bar at about 85.2% and the orange at 82.0%. In ""Duplicate Re,"" the blue bar is around 84.8% and the orange at 83.4%. Both bars in ""Grouping"" are at 80.0%. In the ""Metadata"" category, the blue bar shows 88.0% and the orange the same at 88.0%. For ""Table Gen,"" the blue bar is at 88.9%, while the orange is approximately 77.8%. The bars are grouped side by side within each category, and there are no specific visual emphases such as shading or outlining noted in the chart."
011_2503.21735v1_GateLens A Reasoning-Enhanced LLM Agent for Automotive Software Release   Analytics.pdf,011_2503.21735v1_Figure3.png,Performance of GateLens and GoNoGo with varying numbers of few-shot examples.,Line Plot,"The plot illustrates the F1 score percentage change as a function of the few-shot number, comparing two different approaches labeled ""GoNoGo"" and ""GateLens."" The x-axis is labeled ""Few-shot Num,"" with a linear scale ranging from 0 to 50, marked at intervals of 10. The y-axis is labeled ""F1 (%)"" with a linear scale ranging from 0 to 100, also marked at intervals of 10. There are two lines depicted in the plot. The first line, representing ""GoNoGo,"" is blue with circular markers and a dashed style. It begins at an F1 score of 0% at the 0 few-shot mark, rises to 42% at the 2 few-shot mark, continues to 60% at the 10 few-shot mark, and reaches 84.57% at the 50 few-shot mark, showing a strong upward trend across the x-axis. The second line, representing ""GateLens,"" is orange with circular markers and a solid style. It starts at an F1 score of 95.92% at the 0 few-shot mark, maintains a slight fluctuation around 95.92% between the 0 and 10 few-shot marks, before stabilizing to 100% by the 50 few-shot mark, depicting minimal fluctuation overall."
013_2505.16869v1_MPO Multilingual Safety Alignment via Reward Gap Optimization.pdf,013_2505.16869v1_Figure2.png,The results of replacing the dominant language reward gap with a fixed value on multilingual safety and general utility performance.,Line Plot,"The plot demonstrates the performance of two models, MultiJail and MT-Bench, in terms of multilingual safety and utility. The x-axis is labeled with scale type and represents numeric values ranging from 0.1 to 20.0 with regularly spaced intervals. The left y-axis, labeled ""Multilingual Safety Performance,"" has a linear scale ranging from 0 to 50, with major ticks every 10 units. The right y-axis, labeled ""Multilingual Utility Performance,"" has a linear scale ranging from 4.2 to 5.2 with major ticks every 0.2 units. The line representing MultiJail is maroon with circular markers and a solid line style, starting at a performance score near 50 at x = 0.1 and declining sharply to below 10 by x = 1.0, then remaining relatively steady around that value up to x = 20.0. The line representing MT-Bench is blue with circular markers and a solid line style, starting slightly above 40 at x = 0.1, exhibiting fluctuations with peaks above 40 and dips below 20 across the x-axis, eventually ending near 30 at x = 20.0."
013_2505.16869v1_MPO Multilingual Safety Alignment via Reward Gap Optimization.pdf,013_2505.16869v1_Figure3.png,: Impact of Data Quality.,Line Plot,"The plot illustrates multilingual safety performance across different models labeled as NLLB-600M, NLLB-1.3B, and NLLB-3.3B, with a comparison to LLaMA-3.1-8B-Instruct. The x-axis is labeled with model names and is categorical. The y-axis is labeled ""Multilingual Safety Performance,"" with a linear scale ranging from 5 to 35, marked at intervals of 5 units. The plot features six lines: a maroon line with circle markers representing MPO remains steady at a performance level of around 5; a yellow line with square markers representing DPO peaks at 30 at NLLB-1.3B and decreases to near 25 at NLLB-3.3B; a blue line with triangle markers representing IPO consistently increases slightly from 15 to around 17; a green line with star markers representing KTO peaks at approximately 27 at NLLB-1.3B before declining to near 20; an orange line with diamond markers representing ORPO shows a slight decline from 10 to about 7; and a light green line with inverted triangle markers representing SimPO starts at around 27, peaks to about 30, and decreases to about 24 by NLLB-3.3B. The dashed line at a performance level of 30 represents the benchmark LLaMA-3.1-8B-Instruct performance."
